time,symbol,side,price,volume,commission,pnl,tags
2026-01-13 06:45:00,rb888,sell,3156.0,1,3.156,0.0,
2026-01-13 14:15:00,rb888,buy,3167.0,1,3.1670000000000003,-11.0,close
2026-01-14 03:00:00,rb888,buy,3171.0,1,3.1710000000000003,0.0,
2026-01-14 05:30:00,rb888,sell,3160.0,1,3.16,-11.0,close
2026-01-14 14:30:00,rb888,buy,3170.0,1,3.1700000000000004,0.0,
2026-01-15 03:00:00,rb888,sell,3159.0,1,3.1590000000000003,-11.0,close
2026-01-15 03:15:00,rb888,sell,3151.0,1,3.1510000000000002,0.0,
2026-01-15 05:45:00,rb888,buy,3157.0,1,3.157,-6.0,close
2026-01-16 01:00:00,rb888,buy,3174.0,1,3.174,0.0,
2026-01-16 03:15:00,rb888,sell,3163.0,1,3.1630000000000003,-11.0,close
2026-01-16 05:30:00,rb888,sell,3164.0,1,3.164,0.0,
2026-01-19 02:30:00,rb888,buy,3146.0,1,3.1460000000000004,18.0,close
2026-01-20 02:45:00,rb888,sell,3122.0,1,3.1220000000000003,0.0,
2026-01-21 01:00:00,rb888,buy,3115.0,1,3.115,7.0,close
2026-01-21 06:00:00,rb888,buy,3120.0,1,3.12,0.0,
2026-01-23 01:00:00,rb888,sell,3131.0,1,3.1310000000000002,11.0,close
2026-01-23 06:00:00,rb888,buy,3147.0,1,3.1470000000000002,0.0,
2026-01-23 06:30:00,rb888,sell,3137.0,1,3.137,-10.0,close
2026-01-26 01:15:00,rb888,buy,3158.0,1,3.1580000000000004,0.0,
2026-01-26 03:00:00,rb888,sell,3147.0,1,3.1470000000000002,-11.0,close
2026-01-26 05:45:00,rb888,sell,3147.0,1,3.1470000000000002,0.0,
2026-01-27 01:45:00,rb888,buy,3137.0,1,3.137,10.0,close
2026-01-27 05:45:00,rb888,sell,3121.0,1,3.121,0.0,
2026-01-27 13:15:00,rb888,buy,3131.0,1,3.1310000000000002,-10.0,close
2026-01-28 13:00:00,rb888,buy,3127.0,1,3.1270000000000002,0.0,
2026-01-29 02:00:00,rb888,sell,3140.0,1,3.14,13.0,close
2026-01-29 03:00:00,rb888,buy,3148.0,1,3.148,0.0,
2026-01-29 13:00:00,rb888,sell,3155.0,1,3.1550000000000002,7.0,close
2026-01-30 01:15:00,rb888,sell,3146.0,1,3.1460000000000004,0.0,
2026-01-30 03:15:00,rb888,buy,3130.0,1,3.1300000000000003,16.0,close
2026-01-30 05:30:00,rb888,sell,3129.0,1,3.129,0.0,
2026-02-02 03:00:00,rb888,buy,3110.0,1,3.1100000000000003,19.0,close
2026-02-02 13:45:00,rb888,buy,3111.0,1,3.111,0.0,
2026-02-03 02:30:00,rb888,sell,3098.0,1,3.0980000000000003,-13.0,close
2026-02-03 02:45:00,rb888,sell,3096.0,1,3.096,0.0,
2026-02-03 13:00:00,rb888,buy,3117.0,1,3.117,-21.0,close
2026-02-04 01:15:00,rb888,sell,3100.0,1,3.1,0.0,
2026-02-04 01:45:00,rb888,buy,3110.0,1,3.1100000000000003,-10.0,close
2026-02-04 02:00:00,rb888,buy,3116.0,1,3.116,0.0,
2026-02-04 06:00:00,rb888,sell,3105.0,1,3.105,-11.0,close
2026-02-05 06:15:00,rb888,buy,3098.0,1,3.0980000000000003,0.0,
2026-02-06 01:30:00,rb888,sell,3087.0,1,3.087,-11.0,close
2026-02-06 03:15:00,rb888,sell,3084.0,1,3.084,0.0,
2026-02-06 14:00:00,rb888,buy,3072.0,1,3.072,12.0,close
2026-02-11 01:30:00,rb888,buy,3059.0,1,3.059,0.0,
2026-02-11 13:30:00,rb888,sell,3051.0,1,3.051,-8.0,close
2026-02-12 03:15:00,rb888,buy,3054.0,1,3.0540000000000003,0.0,
2026-02-12 06:45:00,rb888,sell,3047.0,1,3.047,-7.0,close
2026-02-13 02:30:00,rb888,buy,3064.0,1,3.064,0.0,
2026-02-13 06:30:00,rb888,sell,3053.0,1,3.053,-11.0,close
2026-02-24 01:15:00,rb888,sell,3013.0,1,3.0130000000000003,0.0,
2026-02-24 02:30:00,rb888,buy,3026.0,1,3.0260000000000002,-13.0,close
2026-02-24 13:15:00,rb888,buy,3041.0,1,3.041,0.0,
2026-02-25 01:00:00,rb888,sell,3026.0,1,3.0260000000000002,-15.0,close
2026-02-25 01:45:00,rb888,buy,3037.0,1,3.0370000000000004,0.0,
2026-02-25 03:00:00,rb888,sell,3047.0,1,3.047,10.0,close
2026-02-27 06:45:00,rb888,buy,3068.0,1,3.068,0.0,
2026-02-27 13:15:00,rb888,sell,3086.0,1,3.0860000000000003,18.0,close
2026-02-27 13:30:00,rb888,buy,3088.0,1,3.088,0.0,
2026-02-27 14:00:00,rb888,sell,3069.0,1,3.069,-19.0,close
2026-03-02 01:00:00,rb888,sell,3060.0,1,3.06,0.0,
2026-03-02 13:15:00,rb888,buy,3072.0,1,3.072,-12.0,close
2026-03-02 13:30:00,rb888,buy,3072.0,1,3.072,0.0,
2026-03-02 14:00:00,rb888,sell,3063.0,1,3.063,-9.0,close
2026-03-03 01:15:00,rb888,sell,3063.0,1,3.063,0.0,
2026-03-03 03:15:00,rb888,buy,3074.0,1,3.0740000000000003,-11.0,close
2026-03-03 05:30:00,rb888,buy,3073.0,1,3.073,0.0,
2026-03-03 06:00:00,rb888,sell,3059.0,1,3.059,-14.0,close
2026-03-04 01:00:00,rb888,buy,3080.0,1,3.08,0.0,
2026-03-04 01:45:00,rb888,sell,3067.0,1,3.067,-13.0,close
